"function oddsToTwenty (20) ",let arrRetorno,valor atual do i,condicao i<= parametro,condicao i%2===1 (impar),arrRetorno.push(i),incremento i
"-",[],0,true,false,-,i+1
"-",[],1,true,true,1,i+1
"-",[1],2,true,false,-,i+1
"-",[1],3,true,true,3,i+1
"-","[1,3]",4,true,false,-,i+1
"-","[1,3]",5,true,true,5,i+1
"-",[],21,false,-,-,-
"-",,,,,,
,,,,,,
"oddsToTwenty(20)",let i,i <=20,i+1," if  i%2 === 1",arrRetorno.push,let arrRetorno
"-",1,true,i+1,true,1,[1]
"-",2,true,i+1,false,-,-
"-",3,true,i+1,true,3,"[1,3]"
"-",4,true,i+1,false,-,-
"-",5,true,i+1,true,5,"[1,3,5]"
,,,,,,
"oddsToTwenty(20)",let i,i <=20,i+1," if  i%2 === 1",arrRetorno.push,let arrRetorno
,,,,,,
